සඳහන්,sandahan
අපට,apata
වහන්සේ,wahanse
කළේ,kale
කරන්න,karanna
බවත්,bawath
තමා,thama
කරයි,karayi
කියා,kiya
ගිය,giya
මහා,maha
වෙත,wetha
ගැනීම,geneema
පමණ,pamana
සිංහල,sinhala
වීම,weema
අවශ්‍ය,awashya
ගොස්,gos
කරනු,karanu
සිය,siya
ඒවා,ewa
අද,ada
යන්න,yanna
සමග,samaga
සිටින,sitina
යයි,yayi
වෙනස්,wenas
නොවේ,nowe
ඇගේ,ege
මගින්,magin
ප්‍රධාන,pradhana
පිළිබඳව,pilibandawa
බලා,bala
කරමින්,karamin
ඉදිරිපත්,idiripath
කියල,kiyala
දක්වා,dakwa
ගමන්,gaman
සමාජ,samaja
විශාල,wishala
ජාතික,jathika
නොව,nowa
මහ,maha
ගන්නා,ganna
විවිධ,wiwidha
සියලු,siyalu
කරන්නේ,karanne
යැයි,yeyi
ඇතැම්,ethem
යනු,yanu
අය,aya
කිරීමේ,kireeme
ඒක,eka
ලබන,labana
තරම්,tharam
ඔවුන්ගේ,owunge
එන,ena
නව,nawa
ලැබේ,lebe
වෙනත්,wenath
කියන,kiyana
කියලා,kiyala
හැම,hema
හොඳ,honda
පිණිස,pinisa
යුතුය,yuthuya
දෙයක්,deyak
නොහැකි,noheki
දෙස,desa
පටන්,patan
කෙරෙහි,kerehi
දින,dina
දෙන,dena
අදහස්,adahas
කළා,kala
දේ,de
සහිත,sahitha
විශේෂ,wishesha
කුඩා,kuda
වැදගත්,wedagath
තිබූ,thibu
හරි,hari
හැකිය,hekiya
අයත්,ayath
වෙලා,wela
ඇතුළු,ethulu
කෙසේ,kese
ප්‍රකාශ,prakasha
තමන්,thaman
වගේ,wage
දක්නට,daknata
පරිදි,paridi
දේශපාලන,deshapalana
කරුණු,karunu
කී,kee
පැහැදිලි,pehedili
ඡන්ද,chanda
පවා,pawa
වු,wu
තව,thawa
ඔවුහු,owuhu
නැවත,newatha
සිත,sitha
ක්‍රියා,kriya
සමහර,samahara
තිබෙන,thibena
තමයි,thamayi
බෞද්ධ,bauddha
කෙළේ,kele
මුල්,mul
මුදල්,mudal
දැඩි,dedi
වීමට,weemata
ක්‍රියාත්මක,kriyathmaka
ආරම්භ,arambha
යොමු,yomu
දැන,dena
කාලය,kalaya
හේතු,hethu
එකක්,ekak
අවුරුදු,awurudu
මුහුණ,muhuna
ඇතැයි,etheyi
ලංකාවේ,lankawe
ලංකා,lanka
දෙකක්,dekak
පසුව,pasuwa
අඩු,adu
ඉන්,in
රටේ,rate
සෑම,sema
ගන්න,ganna
යටතේ,yatathe
රට,rata
වෙනුවෙන්,wenuwen
සිටියේ,sitiye
කථා,katha
කළේය,kaleya
සොයා,soya
දෙක,deka
වූහ,wuha
සම්බන්ධ,sambandha
එනම්,enam
ජනතාව,janathawa
පවතින,pawathina
කොළඹ,kolamba
ඒත්,eth
යොදා,yoda
තබා,thaba
රාජ්‍ය,rajya
ජන,jana
ගියේ,giye
වෙන,wena
නොවන,nowana
වුව,wuwa
බැවින්,bewin
ඔබට,obata
මහත්,mahath
ලදී,ladee
ඉඩ,ida
පැමිණ,pemina
දිය,diya
පුළුවන්,puluwan
ජීවිතය,jeewithaya
රුපියල්,rupiyal
විස්තර,wisthara
ගත්තේ,gaththe
එ,e
තොරතුරු,thorathuru
පහළ,pahala
වඩාත්,wadath
හැර,hera
පිට,pita
එහෙම,ehema
එවැනි,eweni
නිදහස්,nidahas
මෙන්ම,menma
පොදු,podu
කිසි,kisi
ට,ta
ආ,a
වසර,wasara
අත,atha
බුදු,budu
පැරණි,perani
එයා,eya
තත්ත්වය,thaththwaya
ඉහළ,ihala
කරන්නට,karannata
තැන,thena
ඉන්න,inna
එයින්,eyin
අනෙක්,anek
පැමිණි,pemini
වලින්,walin
ක්‍රමය,kramaya
ලැබෙන,lebena
තුළින්,thulin
ජීවත්,jeewath
ගෙදර,gedara
කල,kala
ප්‍රාදේශීය,pradesheeya
කරගෙන,karagena
බලය,balaya
එක්ක,ekka
ආදී,adee
මීට,meeta
හිමි,himi
ගල්,gal
සකස්,sakas
කුමක්,kumak
මුළු,mulu
ප්‍රශ්න,prashna
වුවත්,wuwath
පැවති,pewathi
පසුගිය,pasugiya
කළහ,kalaha
වෙන්න,wenna
ලොකු,loku
වලට,walata
අතින්,athin
අවසන්,awasan
ලද්දේ,ladde
සම්බන්ධයෙන්,sambandhayen
වුණා,wuna
ඔය,oya
එක්සත්,eksath
ඔවුන්ට,owunta
ලැබූ,lebu
සේවා,sewa
සියල්ල,siyalla
ආහාර,ahara
මූලික,mulika
උසස්,usas
ආර්ථික,arthika
වෙනවා,wenawa
රජු,raju
රජ,raja
කෙරේ,kere
දුන්,dun
වත්,wath
පිහිටි,pihiti
ප්‍රදේශයේ,pradeshaye
එයට,eyata
ඇයට,eyata
සාකච්ඡා,sakachcha
ගොඩ,goda
කිරීමෙන්,kireemen
පමණි,pamani
මිනිසුන්,minisun
පළමු,palamu
වචන,wachana
දමා,dama
එකම,ekama
වෙන්,wen
පුරා,pura
බවයි,bawayi
කට,kata
පළාත්,palath
ලේකම්,lekam
කරනවා,karanawa
කීවේ,keewe
වල,wala
තමන්ගේ,thamange
තීරණය,theeranaya
ඕනෑ,one
මතු,mathu
සිත්,sith
පෙනේ,pene
සමාජය,samajaya
නිර්මාණය,nirmanaya
බටහිර,batahira
කෙනෙක්,kenek
ක,ka
එපා,epa
තරුණ,tharuna
රජයේ,rajaye
පාලනය,palanaya
හිස,hisa
එවිට,ewita
දා,da
පළ,pala
ඉවත්,iwath
හෙවත්,hewath
කාලයේ,kalaye
ධර්ම,dharma
හ,ha
කරති,karathi
ගියා,giya
පුංචි,punchi
පෙන්වා,penwa
අදාළ,adala
දැනට,denata
පොලිස්,polis
යනුවෙන්,yanuwen
යුතුයි,yuthuyi
රජය,rajaya
වෙති,wethi
අලුත්,aluth
සාමාන්‍ය,samanya
තිබුණේ,thibune
සේවය,sewaya
ලක්ෂණ,lakshana
අත්,ath
මෙවැනි,meweni
බුදුන්,budun
එදා,eda
උත්සාහ,uthsaha
නමැති,namethi
ආපසු,apasu
ඔව්,ow
ඉතින්,ithin
වාසය,wasaya
ටික,tika
සමාන,samana
කාලයක්,kalayak
නියම,niyama
ඉටු,itu
වර්ධනය,wardhanaya
සංවර්ධන,sanwardhana
මිල,mila
නමින්,namin
කොටස්,kotas
විනාශ,winasha
කැමති,kemathi
තමාගේ,thamage
ඉල්ලා,illa
සංවිධානය,sanwidhanaya
අතට,athata
දැක,deka
ඉහත,ihatha
සුළු,sulu
පිළිතුරු,pilithuru
පාසල්,pasal
පවතී,pawathee
තිබුණි,thibuni
දකුණු,dakunu
විශ්වාස,wishwasa
මෙහිදී,mehidee
තේරුම්,therum
දියුණු,diyunu
අධ්‍යාපන,adhyapana
සමූහ,samuha
කරා,kara
දරුවන්,daruwan
කිසියම්,kisiyam
ආදිය,adiya
පිරිසක්,pirisak
බල,bala
ඇයි,eyi
වාර්තා,wartha
දීමට,deemata
කල්පනා,kalpana
දෙන්න,denna
පහත,pahatha
කීවා,keewa
ඇතුළත්,ethulath
කිසිම,kisima
සභා,sabha
එකතු,ekathu
භාග්‍යවතුන්,bhagyawathun
ජලය,jalaya
කියමින්,kiyamin
ආගමික,agamika
තියෙනවා,thiyenawa
මල්,mal
පෙනී,penee
කලින්,kalin
කීය,keeya
ක්‍රම,krama
වනු,wanu
අර,ara
මැද,meda
හෙයින්,heyin
ජනයා,janaya
විශේෂයෙන්,wisheshayen
ගැනීමේ,geneeme
නීති,neethi
කියන්නේ,kiyanne
කියයි,kiyayi
මහණෙනි,mahaneni
බවද,bawada
දුක්,duk
තිබිණි,thibini
නොමැති,nomethi
ගත්තා,gaththa
අපගේ,apage
පැවැති,pewethi
කිසිදු,kisidu
රූප,rupa
කිසිවක්,kisiwak
අම්මා,amma
දීම,deema
හේතුව,hethuwa
හට,hata
අනික්,anik
දුටු,dutu
පෞද්ගලික,paudgalika
ගණන්,ganan
අවබෝධ,awabodha
ගුවන්,guwan
හොඳින්,hondin
ඉදිරියට,idiriyata
ඔයා,oya
තෙක්,thek
එහෙයින්,eheyin
ආකාරය,akaraya
යළි,yali
කෙරෙන,kerena
සලකා,salaka
දෙවියන්,dewiyan
තිබෙනවා,thibenawa
තියෙන,thiyena
භාණ්ඩ,bhanda
යහපත්,yahapath
අංක,anka
මැතිවරණ,methiwarana
ශක්තිය,shakthiya
යුත්තේ,yuththe
බවක්,bawak
මිනිසා,minisa
පොත්,poth
ප්‍රථම,prathama
අවධානය,awadhanaya
වෙමින්,wemin
ලක්,lak
ජනතා,janatha
ලෝක,loka
බැරි,beri
ඉඩම්,idam
මිනිස්සු,minissu
මධ්‍යම,madhyama
වෙනුවට,wenuwata
බලාපොරොත්තු,balaporoththu
කෑම,kema
හැටියට,hetiyata
මානව,manawa
අවසාන,awasana
උඹ,umba
එසේම,esema
හඬ,handa
යාමට,yamata
බස්,bas
උතුරු,uthuru
කල්,kal
පස්සෙ,passe
දෙමළ,demala
අනතුරුව,anathuruwa
ඇස්,es
යට,yata
දෙසට,desata
ගෙන්,gen
දැයි,deyi
ධර්මය,dharmaya
දේවල්,dewal
සාහිත්‍ය,sahithya
ආදි,adi
සංස්කෘතික,sanskthika
නායක,nayaka
ඔබේ,obe
යා,ya
යළිත්,yalith
බිම,bima
සහභාගි,sahabhagi
යෝජනා,yojana
ලෝකයේ,lokaye
මොකද,mokada
සටහන්,satahan
භාවිත,bhawitha
උන්,un
දක්වන,dakwana
මඟින්,mangin
නිතර,nithara
දුන්නේ,dunne
වරක්,warak
වුවද,wuwada
මහනුවර,mahanuwara
ප්‍රශ්නය,prashnaya
හමුදා,hamuda
සුදුසු,sudusu
බැව්,bew
සමාජයේ,samajaye
යමක්,yamak
කියන්න,kiyanna
පවත්නා,pawathna
දෙනා,dena
අවස්ථාව,awasthawa
මාර්ග,marga
පිරිස,pirisa
කිව,kiwa
මිනිස්,minis
බෙහෙවින්,behewin
එකට,ekata
කියන්නෙ,kiyanne
භාර,bhara
අන්,an
සම්පත්,sampath
වූවා,wuwa
තිබිණ,thibina
හිත,hitha
විවාහ,wiwaha
වෛද්‍ය,waidya
යන්නේ,yanne
තමාට,thamata
ඇත්ත,eththa
ලා,la
පියා,piya
පා,pa
නම,nama
බලන්න,balanna
පහසුකම්,pahasukam
පිහිටා,pihita
ඕන,ona
බලන,balana
ආරක්ෂා,araksha
අදහස,adahasa
ළඟ,langa
ටිකක්,tikak
සිටිති,sitithi
ජල,jala
සභාපති,sabhapathi
මානසික,manasika
විදුලි,widuli
වන්නට,wannata
භාෂාව,bhashawa
පැන,pena
සටන්,satan
තෝරා,thora
ජනතාවට,janathawata
මෙ,me
ඓතිහාසික,aithihasika
යුත්,yuth
හරහා,haraha
සුදු,sudu
අසල,asala
කරල,karala
සිහි,sihi
බැහැර,behera
විශ්ව,wishwa
පාර,para
න,na
තෙමේ,theme
මතය,mathaya
යුතුව,yuthuwa
තිබුණු,thibunu
විෂය,wishaya
හිමියන්,himiyan
පියවර,piyawara
ප්‍රමාණය,pramanaya
වර්ග,warga
යුගයේ,yugaye
හොත්,hoth
අවස්ථා,awastha
සීමා,seema
තුන්,thun
සාධක,sadhaka
ගන්නට,gannata
එක්තරා,ekthara
අයට,ayata
සිටිය,sitiya
නිකුත්,nikuth
හමු,hamu
නොවී,nowee
ලැබී,lebee
භාෂා,bhasha
කොටසක්,kotasak
සතු,sathu
ණය,naya
මාර්ගය,margaya
ගමේ,game
කවි,kawi
ක්‍රීඩා,kreeda
උඩ,uda
සමත්,samath
දිග,diga
කලා,kala
නැගෙනහිර,negenahira
හැක්කේ,hekke
තිබුණ,thibuna
ආකාරයට,akarayata
අයුරින්,ayurin
හැක,heka
ගනු,ganu
මිය,miya
මස,masa
පුරුදු,purudu
නැතිව,nethiwa
මහතාගේ,mahathage
කල්හි,kalhi
හිටපු,hitapu
එන්න,enna
කොටි,koti
ලෝකය,lokaya
අයුරු,ayuru
නොයෙක්,noyek
තමන්ට,thamanta
ජීවිත,jeewitha
මව,mawa
ගිනි,gini
එල්ල,ella
විවෘත,wiwtha
දෙනෙක්,denek
කි,ki
කිරි,kiri
බැවිනි,bewini
වහා,waha
ගනිමින්,ganimin
ඉතිරි,ithiri
අතරින්,atharin
පක්ෂ,paksha
ප්‍රකට,prakata
දේශීය,desheeya
කවර,kawara
රටවල,ratawala
ඇඳුම්,endum
තාත්තා,thaththa
ඔවුනට,owunata
වනාහි,wanahi
මෙතෙක්,methek
ඔස්සේ,osse
යාම,yama
භික්ෂූන්,bhikshun
ආයතන,ayathana
විද්‍යාව,widyawa
මෙයින්,meyin
සූදානම්,sudanam
පාලන,palana
වතුර,wathura
ගනී,ganee
සංවර්ධනය,sanwardhanaya
ආණ්ඩුව,anduwa
ඉතිහාසය,ithihasaya
දොර,dora
අපිට,apita
අධික,adhika
එබැවින්,ebewin
අමතක,amathaka
හඳුනා,handuna
තියෙන්නෙ,thiyenne
දෙදෙනා,dedena
ඇවැත්,eweth
ඇමැති,emethi
සිදුවන,siduwana
බිහි,bihi
ගියේය,giyeya
උන්වහන්සේ,unwahanse
නගරයේ,nagaraye
මේවා,mewa
නැත්නම්,nethnam
අනුරාධපුර,anuradhapura
නිෂ්පාදන,nishpadana
නිර්මාණ,nirmana
උපන්,upan
හඳුන්වා,handunwa
බෙදා,beda
උපදෙස්,upades
උදෙසා,udesa
සිටී,sitee
වෙළෙඳ,welenda
විනය,winaya
පස්,pas
සැබෑ,sebe
ගුරු,guru
කිහිපයක්,kihipayak
දැක්වෙන,dekwena
තුනක්,thunak
විදේශ,widesha
නුවර,nuwara
අනුගමනය,anugamanaya
වුණේ,wune
නිලධාරීන්,niladhareen
වීමෙන්,weemen
වර්තමාන,warthamana
කොටස,kotasa
රජුගේ,rajuge
යුක්ත,yuktha
පත්ව,pathwa
කරලා,karala
නේද,neda
තහවුරු,thahawuru
ලොව,lowa
බැහැ,behe
ඉංග්‍රීසි,ingreesi
මිස,misa
බුද්ධ,buddha
කීවේය,keeweya
පදනම්,padanam
නැවතත්,newathath
වැරදි,weradi
සිටියහ,sitiyaha
තොර,thora
පහර,pahara
ජීවිතයේ,jeewithaye
මාගේ,mage
ලබන්නේ,labanne
හොඳයි,hondayi
රැගෙන,regena
ඇද,eda
ගන්නේ,ganne
ආරක්ෂක,arakshaka
සභාව,sabhawa
කතාව,kathawa
හැකියාව,hekiyawa
කැර,kera
සිටියේය,sitiyeya
චීන,cheena
තේ,the
ස්වභාවය,swabhawaya
තවමත්,thawamath
හි,hi
ජපන්,japan
ඇතිව,ethiwa
සැලකිය,selakiya
හොඳට,hondata
සම්පූර්ණ,sampurna
නතර,nathara
භාවිතා,bhawitha
ගත්තේය,gaththeya
ලදි,ladi
හැටි,heti
නොවූ,nowu
ආදරය,adaraya
හෙළි,heli
පවත්වා,pawathwa
ඉතාම,ithama
සතුටු,sathutu
සැලසුම්,selasum
වේද,weda
මීටර්,meetar
එමෙන්ම,emenma
අගය,agaya
එහිදී,ehidee
සියලුම,siyaluma
මණ්ඩලය,mandalaya
පර්යේෂණ,paryeshana
දෙයි,deyi
ජාතක,jathaka
බිය,biya
ගිහින්,gihin
යන්නට,yannata
දැනුම,denuma
ජනාධිපති,janadhipathi
ක්‍රමයෙන්,kramayen
අසා,asa
සිල්වා,silwa
වටා,wata
අධ්‍යාපනය,adhyapanaya
හැඟීම්,hengeem
පොල්,pol
සිතා,sitha
මෙරට,merata
ඉන්දියාවේ,indiyawe
පවුල්,pawul
ලංකාව,lankawa
බෑ,be
හේතුවෙන්,hethuwen
මාස,masa
බී,bee
තියෙනව,thiyenawa
එස්,es
සභාවේ,sabhawe
එතරම්,etharam
හිස්,his
ආචාර්ය,acharya
විද්‍යා,widya
ඩී,dee
ආධාර,adhara
වසා,wasa
ඇවිත්,ewith
කීපයක්,keepayak
තවදුරටත්,thawaduratath
පාර්ලිමේන්තු,parlimenthu
නගර,nagara
සංස්කෘතිය,sanskthiya
එකල,ekala
එජාප,ejapa
සියලූ,siyalu
ප්‍රමාණයක්,pramanayak
ගුණ,guna
අල්ලා,alla
වැටී,wetee
තුරු,thuru
වෙනව,wenawa
ඉදිරියේ,idiriye
කඩා,kada
මෙයට,meyata
චිත්‍ර,chithra
දහම්,daham
සැප,sepa
ඉගෙන,igena
වටහා,wataha
පක්ෂය,pakshaya
නොවෙයි,noweyi
යනවා,yanawa
කරන්නෙ,karanne
අමතරව,amatharawa
වෙන්නෙ,wenne
යුද,yuda
වුණු,wunu
වසරේ,wasare
මේක,meka
නිසි,nisi
උදේ,ude
හරියට,hariyata
සතර,sathara
චෝදනා,chodana
එකී,ekee
විද්‍යාත්මක,widyathmaka
මාධ්‍ය,madhya
දෙවන,dewana
දිස්ත්‍රික්,disthrik
නිවැරදි,niweradi
මහජන,mahajana
නොකළ,nokala
කරන්ට,karanta
අර්ථ,artha
සාර්ථක,sarthaka
දෙය,deya
වහන්සේගේ,wahansege
නැද්ද,nedda
එබඳු,ebandu
වෙතත්,wethath
විරුද්ධ,wiruddha
සාම,sama
සංචාරක,sancharaka
මරණය,maranaya
අනේ,ane
රෝග,roga
අරමුණ,aramuna
කොහොම,kohoma
ශබ්ද,shabda
දරුවා,daruwa
එයාට,eyata
එම්,em
අරමුණු,aramunu
බුදුරජාණන්,budurajanan
හෙතෙම,hethema
වි,wi
මුල,mula
පී,pee
පොත,potha
පුද්ගලයා,pudgalaya
බදු,badu
සමාගම,samagama
ආගම,agama
මඟ,manga
අධ්‍යයනය,adhyayanaya
ක්‍රමයක්,kramayak
ගරු,garu
සිතින්,sithin
පෙනෙන,penena
පුහුණු,puhunu
තොරව,thorawa
පද,pada
සිටියා,sitiya
මන්ත්‍රී,manthree
ග්‍රන්ථ,grantha
තිබුණා,thibuna
ගස්,gas
සැක,seka
රෑ,re
කොළ,kola
ලැබ,leba
ඈට,eta
කථාව,kathawa
අවස්ථාවේ,awasthawe
ළ,la
යටත්,yatath
කිව්වා,kiwwa
ආකාරයෙන්,akarayen
ආයතනය,ayathanaya
කාර්යය,karyaya
යත්,yath
තිබිය,thibiya
කෙටි,keti
වාඩි,wadi
ගමන,gamana
පහත්,pahath
නැතුව,nethuwa
මනා,mana
පුද්ගලයන්,pudgalayan
මොන,mona
බලවත්,balawath
රචනා,rachana
බණ්ඩාරනායක,bandaranayaka
නියෝජ්‍ය,niyojya
එළියට,eliyata
නිෂ්පාදනය,nishpadanaya
පවත්වාගෙන,pawathwagena
මිස්ටර්,mistar
තිබෙන්නේ,thibenne
කළු,kalu
මග,maga
පශ්චාත්,pashchath
කාල,kala
පක්ෂයේ,pakshaye
මතක,mathaka
අවට,awata
දිගු,digu
ගණනක්,gananak
සංස්කෘත,sansktha
පරිසරය,parisaraya
පැමිණෙන,peminena
ලක්ෂ,laksha
රතු,rathu
ප්‍රබල,prabala
කාව්‍ය,kawya
ඉතාමත්,ithamath
ජනතාවගේ,janathawage
ඉදිරි,idiri
කියති,kiyathi
එරෙහිව,erehiwa
ආත්ම,athma
එතකොට,ethakota
කලාව,kalawa
දැකිය,dekiya
විහාර,wihara
අනෙකුත්,anekuth
බැස,besa
ලිපි,lipi
ඈත,etha
නියමිත,niyamitha
ජීවන,jeewana
රටට,ratata
භික්ෂු,bhikshu
දුන්නා,dunna
අඩි,adi
ලැබුණු,lebunu
පවසයි,pawasayi
කාර්ය,karya
අනාවරණය,anawaranaya
රටවල්,ratawal
ඔබගේ,obage
ඊ,ee
සත්‍ය,sathya
තෙල්,thel
ජාත්‍යන්තර,jathyanthara
ඒවායේ,ewaye
පෙළ,pela
ඌ,u
වෑයම්,weyam
දර්ශනය,darshanaya
ස්ථානය,sthanaya
ලත්,lath
මෙබඳු,mebandu
මස්,mas
භාවනා,bhawana
රස,rasa
දෙවැනි,deweni
මාව,mawa
වන්නේය,wanneya
තත්ත්වයක්,thaththwayak
තුළට,thulata
ඔයාට,oyata
රන්,ran
කොහොමද,kohomada
බිඳ,binda
බාහිර,bahira
සාහිත්‍යය,sahithyaya
ලේ,le
කුමන,kumana
ලෙසින්,lesin
තැන්,then
බඳු,bandu
පොඩි,podi
විසිනි,wisini
බවය,bawaya
පුළුල්,pulul
විහාරය,wiharaya
කියනු,kiyanu
සී,see
වර,wara
පිරිසිදු,pirisidu
නිවාස,niwasa
ගති,gathi
වියදම්,wiyadam
බර,bara
මෙවර,mewara
බැංකු,benku
තැනක්,thenak
කැණීම්,keneem
විශ්වාසය,wishwasaya
නිදහස,nidahasa
චරිත,charitha
අත්දැකීම්,athdekeem
බත්,bath
රැකියා,rekiya
වනුයේ,wanuye
කරගත්,karagath
සිටින්නේ,sitinne
තිස්ස,thissa
ත්,th
ගිහි,gihi
වැඩක්,wedak
පුතා,putha
වස්තු,wasthu
ඕනෑම,onema
දුරට,durata
විදිහට,widihata
දවස,dawasa
සංකල්පය,sankalpaya
කර්මාන්ත,karmantha
එකඟ,ekanga
පැමිණියේ,peminiye
ප්‍රශ්නයක්,prashnayak
බඩු,badu
පැවසීය,pewaseeya
නගරය,nagaraya
ප්‍රදේශවල,pradeshawala
අවසානයේ,awasanaye
රැස්,res
දවසක්,dawasak
මහාචාර්ය,mahacharya
අනුර,anura
සහගත,sahagatha
අලෙවි,alewi
දුර,dura
දිස්ත්‍රික්කයේ,disthrikkaye
ඇඳ,enda
දුෂ්කර,dushkara
පූජා,puja
ඉන්දීය,indeeya
වෙඩි,wedi
ලංකාවට,lankawata
තැන්පත්,thenpath
හතර,hathara
නායකයා,nayakaya
ටී,tee
ස්ථාන,sthana
සතුන්,sathun
තෙම,thema
ජය,jaya
තිබීම,thibeema
දුම්රිය,dumriya
ළඟට,langata
පහසු,pahasu
ඉන්නවා,innawa
දීර්ඝ,deergha
භාවය,bhawaya
බොරු,boru
දුව,duwa
ආණ්ඩු,andu
පෙරේරා,perera
සහාය,sahaya
ලියා,liya
සිටීම,siteema
නොමැත,nometha
අපේක්ෂා,apeksha
ප්‍රදේශ,pradesha
දහම,dahama
දිවි,diwi
ද්‍රව්‍ය,drawya
ලැබීම,lebeema
ගැමි,gemi
මහණ,mahana
සමය,samaya
මගෙ,mage
ප්‍රායෝගික,prayogika
වේදනාව,wedanawa
සෞඛ්‍ය,saukya
කාරණය,karanaya
රාශියක්,rashiyak
ප්‍රමාණවත්,pramanawath
අනතුරු,anathuru
වගා,waga
රැසක්,resak
ආවේ,awe
වීමේ,weeme
හමුවේ,hamuwe
පුරාණ,purana
වෙතට,wethata
ප්‍රතිඵල,prathipala
නිල,nila
ගැඹුරු,gemburu
ගත්හ,gathha
දන්නා,danna
වැනිදා,wenida
වහන්සේට,wahanseta
දැ,de
ඇවැත්නි,ewethni
කණ්ඩායම්,kandayam
ඕනෙ,one
අධ්‍යක්ෂ,adhyaksha
ගසා,gasa
විමසා,wimasa
ප්‍රදේශය,pradeshaya
දේශනා,deshana
යෙදී,yedee
දුක,duka
දක්නා,dakna
අවධාරණය,awadharanaya
අරගෙන,aragena
වික්‍රමසිංහ,wikramasinha
කය,kaya
හේතුවක්,hethuwak
තර්ක,tharka
නොවීය,noweeya
ස්වාමීනි,swameeni
තිස්සේ,thisse
කිරිම,kirima
සරල,sarala
හෙට,heta
සැටි,seti
කරුණක්,karunak
ආර්,ar
ලියන,liyana
නිරත,niratha
භෞතික,bhauthika
ප්‍රිය,priya
ගී,gee
මතක්,mathak
මුදලක්,mudalak
පළාතේ,palathe
මහින්ද,mahinda
උතුම්,uthum
ගම්,gam
සාමාන්‍යයෙන්,samanyayen
දේව,dewa
රාජ්‍යය,rajyaya
ගලා,gala
ලෙසිනි,lesini
එයාගෙ,eyage
දකින,dakina
අවස්ථාවක්,awasthawak
ළමා,lama
සුන්දර,sundara
නුඹ,numba
කේ,ke
කලක්,kalak
අංග,anga
මරා,mara
මැණික්,menik
දෙනු,denu
යෑමට,yemata
බැගින්,begin
උදව්,udaw
සමයේ,samaye
කුමාරයා,kumaraya
ගොවි,gowi
මාතර,mathara
ශක්තිමත්,shakthimath
ඔප්පු,oppu
අදාල,adala
සිතට,sithata
සුජාතා,sujatha
භික්ෂුව,bhikshuwa
නීතිය,neethiya
පුළුවන,puluwana
දි,di
සත්‍යය,sathyaya
රෙදි,redi
ආත්මය,athmaya
අංශ,ansha
තත්වය,thathwaya
සෙසු,sesu
හිමියෝ,himiyo
ලැබිය,lebiya
කම්කරු,kamkaru
විතරයි,witharayi
නිසාය,nisaya
නැගී,negee
තත්ත්වයට,thaththwayata
විද්‍යාලයේ,widyalaye
බහුල,bahula
බොහොම,bohoma
පද්‍ය,padya
වහාම,wahama
මඳක්,mandak
දුරටත්,duratath
දැක්විය,dekwiya
වාහන,wahana
අ,a
සමස්ත,samastha
දෙනෙකු,deneku
වා,wa
විසි,wisi
දැනුම්,denum
අසරණ,asarana
වයස,wayasa
පැවසී,pewasee
නූතන,nuthana
නරක,naraka
ලකුණු,lakunu
කොතරම්,kotharam
කපා,kapa
අගමැති,agamethi
මුලින්,mulin
නාම,nama
අවම,awama
කාලයෙහි,kalayehi
ඇතත්,ethath
ගණනාවක්,gananawak
විදියට,widiyata
ප්‍රතිපත්ති,prathipaththi
කෙනෙකු,keneku
කීහ,keeha
ආනන්ද,ananda
ස්වකීය,swakeeya
ජ්‍යෙෂ්ඨ,jyeshta
යනුවෙනි,yanuweni
දැක්වූ,dekwu
ඡායාරූප,chayarupa
කොයි,koyi
